time_sec,band
48.5,7.6387
48.6,8.0074
48.7,9.5403
48.8,8.9421
48.9,8.3236
49,6.7547
49.1,9.1757
49.2,6.3134
49.3,7.9111
49.4,8.6342
49.5,7.5243
49.6,8.3744
49.7,8.1466
49.8,8.3729
49.9,7.1326
